id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1216889914907930624,1216889914907930624,1578964139000,2020-01-14,14:08:59,NZDT,722483522468978688,breezeworld,Breeze,,Yea if they lose des niggas gonna kill somebody https://twitter.com/espn/status/1058853098108739584 …,[],['https://twitter.com/espn/status/1058853098108739584'],[],0,0,0,[],[],https://twitter.com/BreezeWorld/status/1216889914907930624,False,https://twitter.com/espn/status/1058853098108739584,0,,,,,,,"[{'user_id': '722483522468978688', 'username': 'BreezeWorld'}]",,,,
1216889262999732225,1216889262999732225,1578963983000,2020-01-14,14:06:23,NZDT,1151541725229457413,hoesluvjoedirt,Tequila Connoisseur 🥃👑,,Where this energy at? https://twitter.com/espn/status/1058853098108739584 …,[],['https://twitter.com/espn/status/1058853098108739584'],[],0,0,0,[],[],https://twitter.com/HoesLuvJoeDirt/status/1216889262999732225,False,https://twitter.com/espn/status/1058853098108739584,0,,,,,,,"[{'user_id': '1151541725229457413', 'username': 'HoesLuvJoeDirt'}]",,,,
1193709142491500544,1193709142491500544,1573437412000,2019-11-11,14:56:52,NZDT,886968466686738432,stale_earnhardt,🇭🇹 Yves Ralph Laurent,,Bruh https://twitter.com/espn/status/1058853098108739584 …,[],['https://twitter.com/espn/status/1058853098108739584'],[],0,0,0,[],[],https://twitter.com/Stale_Earnhardt/status/1193709142491500544,False,https://twitter.com/espn/status/1058853098108739584,0,,,,,,,"[{'user_id': '886968466686738432', 'username': 'Stale_Earnhardt'}]",,,,
1193656150207684614,1193656150207684614,1573424777000,2019-11-11,11:26:17,NZDT,479174287,schwartzeb27,Brendon Schwartze,,Still one of the greatest sports traditions https://twitter.com/espn/status/1058853098108739584 …,[],['https://twitter.com/espn/status/1058853098108739584'],[],0,0,1,[],[],https://twitter.com/Schwartzeb27/status/1193656150207684614,False,https://twitter.com/espn/status/1058853098108739584,0,,,,,,,"[{'user_id': '479174287', 'username': 'Schwartzeb27'}]",,,,
1189554002280759298,1189416228626022401,1572446749000,2019-10-31,03:45:49,NZDT,273725331,buckmtim,Tim Buckman,,"Yeah but hold that thought. One of LSU’s dlinemen and his family. 
Needless to say, Balance restored. https://twitter.com/espn/status/1058853098108739584?s=21 …",['stevebullard'],['https://twitter.com/espn/status/1058853098108739584?s=21'],[],0,0,1,[],[],https://twitter.com/buckmtim/status/1189554002280759298,False,https://twitter.com/espn/status/1058853098108739584,0,,,,,,,"[{'user_id': '273725331', 'username': 'buckmtim'}, {'user_id': '37135553', 'username': 'stevebullard'}]",,,,
1183209340590800898,1183208016365142017,1570934064000,2019-10-13,15:34:24,NZDT,51812830,oeste,Aaron West,,"I’m pretty sure this is his family, so yes. I am onboard with this plan. pic.twitter.com/dAcHdgkcRs",['lgbtqfc'],[],[],2,0,26,[],[],https://twitter.com/oeste/status/1183209340590800898,False,,1,,,,,,,"[{'user_id': '51812830', 'username': 'oeste'}, {'user_id': '18373034', 'username': 'lgbtqfc'}]",,,,
1172271196521545729,1172271196521545729,1568326207000,2019-09-13,10:10:07,NZDT,1151541725229457413,hoesluvjoedirt,Tequila Connoisseur 🥃👑,,🔥🔥🔥🔥🔥🔥🔥🔥😂 https://twitter.com/espn/status/1058853098108739584 …,[],['https://twitter.com/espn/status/1058853098108739584'],[],0,0,0,[],[],https://twitter.com/HoesLuvJoeDirt/status/1172271196521545729,False,https://twitter.com/espn/status/1058853098108739584,0,,,,,,,"[{'user_id': '1151541725229457413', 'username': 'HoesLuvJoeDirt'}]",,,,
1159676154565074949,1159672318798499840,1565323315000,2019-08-09,16:01:55,NZDT,909371925411041282,lifesdecofcards,👳🏾‍♂️Declan ☀️🇹🇹,, pic.twitter.com/PLoaRmIFSg,[],[],[],1,0,1,[],[],https://twitter.com/LifesDecOfCards/status/1159676154565074949,False,,1,,,,,,,"[{'user_id': '909371925411041282', 'username': 'LifesDecOfCards'}]",,,,
1147632808157835264,1147632808157835264,1562451958000,2019-07-07,10:25:58,NZDT,263394041,superi0r_422,Rebellion Jones,,Sexy. pic.twitter.com/BHFjSSVA0t,[],[],[],0,0,2,[],[],https://twitter.com/SUPERi0R_422/status/1147632808157835264,False,,1,,,,,,,"[{'user_id': '263394041', 'username': 'SUPERi0R_422'}]",,,,
1146584242564079616,1146584242564079616,1562201960000,2019-07-04,12:59:20,NZDT,2742155756,sir_washed_j,Aegon Stark?,,"If reincarnation is real, please bring me back as a Maori or Samoan person. I can’t even imagine what this level of pride and ancestral connection feels like. pic.twitter.com/oieeKJvFYs",[],[],[],0,0,0,[],[],https://twitter.com/sir_washed_j/status/1146584242564079616,False,,1,,,,,,,"[{'user_id': '2742155756', 'username': 'sir_washed_j'}]",,,,
