"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"BreezeWorld";"Breeze";"722483522468978688";"1216889914907930624";"/BreezeWorld/status/1216889914907930624";"2020-01-14 01:08:59";1578964139;"Yea if they lose des niggas gonna kill somebodyhttps://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Yea if they lose des niggas gonna kill somebody<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/z19m39EWAb"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"HoesLuvJoeDirt";"Tequila Connoisseur 🥃👑";"1151541725229457413";"1216889262999732225";"/HoesLuvJoeDirt/status/1216889262999732225";"2020-01-14 01:06:23";1578963983;"Where this energy at?https://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Where this energy at?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/6aToSImeqU"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"Stale_Earnhardt";"🇭🇹 Yves Ralph Laurent";"886968466686738432";"1193709142491500544";"/Stale_Earnhardt/status/1193709142491500544";"2019-11-11 01:56:52";1573437412;"Bruhhttps://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in"">Bruh<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/I4s8W2DXee"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"Schwartzeb27";"Brendon Schwartze";"479174287";"1193656150207684614";"/Schwartzeb27/status/1193656150207684614";"2019-11-10 22:26:17";1573424777;"Still one of the greatest sports traditionshttps://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Still one of the greatest sports traditions<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/VXPbSzYgo4"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";1;0;0;False;False;"";"[]"
"buckmtim";"Tim Buckman";"273725331";"1189554002280759298";"/buckmtim/status/1189554002280759298";"2019-10-30 14:45:49";1572446749;"Yeah but hold that thought. One of LSU’s dlinemen and his family. 
Needless to say, Balance restored.https://twitter.com/espn/status/1058853098108739584?s=21 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Yeah but hold that thought. One of LSU’s dlinemen and his family. 
Needless to say, Balance restored.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584?s=21"" dir=""ltr"" href=""https://t.co/OO9pqTWGOe"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584?s=21""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584?s=21</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584?s=21']";"[]";False;"[]";"";1;0;0;False;True;"1189416228626022401";"[{'screen_name': 'stevebullard', 'user_id': '37135553'}]"
"HoesLuvJoeDirt";"Tequila Connoisseur 🥃👑";"1151541725229457413";"1172271196521545729";"/HoesLuvJoeDirt/status/1172271196521545729";"2019-09-12 22:10:07";1568326207;"https://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/6aToSImeqU"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"brianmnunez";"Brian Nuñez";"560712434";"1080159686727471104";"/brianmnunez/status/1080159686727471104";"2019-01-01 17:51:52";1546365112;"LSU by 50 #FiestaBowlhttps://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in"">LSU by 50 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FiestaBowl?src=hash""><s>#</s><b>FiestaBowl</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/WbLA7m6EwR"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"['FiestaBowlhttps']";False;"[]";"";0;0;0;False;False;"";"[]"
"Wolfeman_";"Avery Wolfe";"245165166";"1066092898234568704";"/Wolfeman_/status/1066092898234568704";"2018-11-23 22:15:28";1543011328;"If I don’t see Flint and Gardner doing this tonight I’m changing the channelhttps://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">If I don’t see Flint and Gardner doing this tonight I’m changing the channel<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/073iA0xEZR"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";5;0;0;False;False;"";"[]"
"H2Pfeifer26";"Ryan Pfeifer";"985384662";"1065834210420637696";"/H2Pfeifer26/status/1065834210420637696";"2018-11-23 05:07:32";1542949652;"This is awesomehttps://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">This is awesome<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/H2ghi2KrTU"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"devindelmont52";"Devin";"2809272765";"1064761763156148224";"/devindelmont52/status/1064761763156148224";"2018-11-20 06:06:01";1542693961;"If you play football and don’t get hyped when you see this just stop playing.https://twitter.com/espn/status/1058853098108739584 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">If you play football and don’t get hyped when you see this just stop playing.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/espn/status/1058853098108739584"" dir=""ltr"" href=""https://t.co/7imL2cw6zB"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/espn/status/1058853098108739584""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/espn/status/10</span><span class=""invisible"">58853098108739584</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://twitter.com/espn/status/1058853098108739584']";"[]";False;"[]";"";2;1;0;False;False;"";"[]"
